id,key
1,compatibilityInfo
2,XBApplicationSnapshotManifest
3,SBLaunchImageIngestionInfo
4,_SBScenes
5,SBApplicationShortcutItems
6,SBApplicationBadgeKey
8,icon-config:D35E0044-28A0-4F6B-9AFC-986930AB6200
9,icon-config:95E8C101-86C7-4F8A-AD22-D2259240322F
10,icon-config:CB23C3AE-23F9-4750-9E41-52339DD48D6D
11,icon-config:0EDBF111-D890-4149-AB34-A37C4387AC0F
12,icon-config:DDFCF22F-01BC-445D-9E03-8F9CFED99D51
13,icon-config:1BED94A9-7882-493C-82DC-C82E19649827
14,icon-config:382F5430-5305-47A2-9555-D57AE95ECEFF
15,icon-config:BB7D2AC2-F7B2-409A-A693-4D13DC4586EE
16,icon-config:FB72D022-BB45-4F50-B1D2-DD1ED4C26B0C
20,SBApplicationRecentlyUpdated
22,icon-config:0513427F-8D87-412E-B789-DD4C9BC6BF87
25,icon-config:F427B75E-DA6B-4449-98A0-A274E77A44AC
