Z_PK,Z_ENT,Z_OPT,ZALLOWSBOOTSTRAPCELLULARDATA,ZHIDESCONFIRMATIONDIALOGS,ZIGNORESINAPPPURCHASERESTRICTION,ZREQUIRESAUTHENTICATIONFORPAYMENT,ZSANDBOXED,ZSTOREIDENTIFIER,ZSTOREVERSION,ZUSESIDENTITYATTRIBUTES,ZLASTQUEUECHECKDATE,ZBUNDLEVERSION,ZIDENTIFIER,ZRECEIPTDIRECTORYPATH,ZVENDORIDENTIFIER
1,5,6789,0,0,0,0,0,,,0,2020-09-20 08:09:02.074658,,com.burbn.instagram,,
2,5,106,0,0,0,0,0,,,0,2020-09-19 16:14:22.755121,,org.iggymedia.periodtracker,,
3,5,465,0,0,0,0,0,,,0,2020-09-20 06:44:59.260780,,com.spotify.client,,
4,5,24,0,0,0,0,0,,,0,2020-09-19 16:17:10.426575,,instagramstory.maker.unfold,,
5,5,277,0,0,0,0,0,,,0,2020-09-19 18:20:58.029828,,com.google.Maps,,
6,5,766,0,0,0,0,0,,,0,2020-09-19 16:00:00.887319,,com.google.ios.youtube,,
7,5,22,0,0,0,0,0,,,0,2020-08-28 07:13:26.497678,,com.Melesta.MyCafe,,
8,5,189,0,0,0,0,0,,,0,2020-09-19 10:57:59.320188,,es.lacaixa.mobile.imaginBank,,
9,5,200,0,0,0,0,0,,,0,2020-09-20 01:26:41.414144,,com.tezzanyc.Tezza,,
10,5,103,0,0,0,0,0,,,0,2020-07-23 18:52:12.303382,,com.Seriously.BestFiends,,
11,5,126,0,0,0,0,0,,,0,2020-09-20 01:27:38.159534,,RNI.Rni-Films,,
12,5,378,0,0,0,0,0,,,0,2020-09-14 02:23:04.553860,,com.mytonallc.cookingdiary,,
13,5,14,0,0,0,0,0,,,0,2020-09-14 01:55:55.659666,,com.colorpresets.colourtone,,
14,5,993,0,0,0,0,0,,,0,2020-09-20 01:34:31.611051,,com.zhiliaoapp.musically,,
15,5,37,0,0,0,0,0,,,0,2020-09-19 17:52:03.306370,,com.moonlab.unfoldstories,,
16,5,21,0,0,0,0,0,,,0,2020-09-15 14:48:45.840394,,com.YunFang.PhotoGrid,,
17,5,6,0,0,0,0,0,,,0,2020-07-13 14:33:12.218527,,com.munkeeapps.storiesmaker,,
18,5,9,0,0,0,0,0,,,0,2020-09-17 13:49:41.752018,,app.gandr,,
19,5,2,0,0,0,0,0,,,0,2020-07-13 14:43:28.593007,,bad.digital.storyluxe,,
20,5,3,0,0,0,0,0,,,0,2020-07-14 00:30:02.631877,,com.waze.iphone,,
21,5,5,0,0,0,0,0,,,0,2020-07-18 11:39:12.035083,,com.aspiro.TIDAL,,
22,5,2,0,0,0,0,0,,,0,2020-07-22 10:59:14.413563,,com.apple.mobilegarageband,,
23,5,25,0,0,0,0,0,,,0,2020-09-18 18:19:48.445239,,co.visualsupply.cam,,
24,5,64,0,0,0,0,0,,,0,2020-09-17 20:51:24.170578,,com.peopleitrust.pitapp,,
25,5,6,0,0,0,0,0,,,0,2020-08-12 11:53:34.441997,,cat.gencat.mobi.lamevasalut,,
26,5,6,0,0,0,0,0,,,0,2020-08-16 21:45:59.610184,,com.hasbro.riskbigscreen,,
27,5,6,0,0,0,0,0,,,0,2020-08-23 02:13:11.691821,,com.instracker.iapp,,
28,5,2,0,0,0,0,0,,,0,2020-08-23 02:10:49.270708,,com.mann.iMate,,
29,5,19,0,0,0,0,0,,,0,2020-09-19 01:32:02.950571,,com.innersloth.amongus,,
30,5,8,0,0,0,0,0,,,0,2020-09-19 14:25:53.527866,,com.linkedin.LinkedIn,,
31,5,7,0,0,0,0,0,,,0,2020-09-18 20:01:02.373655,,at.runtastic.gpssportapp,,
