ApplicationId,Count,Time
AlexisBarreyat.BeReal,11,2023-02-13 17:30:41.757808
bad.digital.storyluxe,1,2020-11-04 13:29:44.798937
com.apple.MailCompositionService,1,2020-07-17 12:00:03.681419
com.apple.Maps,1,2022-02-15 08:54:00.740140
com.apple.mobilecal,16,2022-07-12 08:24:51.215405
com.apple.mobilemail,29,2019-11-14 01:14:39
com.apple.mobilenotes,58,2022-05-26 13:23:09.026963
com.apple.mobilesafari,1,2022-09-15 20:09:31.933862
com.apple.mobileslideshow,3,2021-05-17 10:34:17.945234
com.apple.mobiletimer,12,2022-02-14 00:40:57.089144
com.apple.springboard,537,2023-02-17 12:55:24.940800
com.burbn.instagram,4823,2023-02-15 10:48:21.701446
com.burbn.instagram.shareextension,5,2023-01-30 18:54:35.421421
com.google.Drive,1,2021-05-30 11:33:09.398134
com.google.Gmail,1,2020-07-07 09:03:13.440598
com.hammerandchisel.discord,8,2021-10-05 00:00:16.150681
com.inditex.pullbear,1,2022-12-22 08:50:59.070445
com.moonlab.unfoldstories,6,2021-06-03 10:20:23.210167
com.peopleitrust.pitapp,3,2021-11-14 16:20:37.565253
com.quvideo.XiaoYing,1,2020-09-27 14:49:08.437001
com.spotify.client,1,2021-03-01 23:55:40.544676
com.zhiliaoapp.musically,298,2023-01-26 09:21:49.247597
es.lacaixa.mobile.imaginBank,2,2022-10-12 19:13:28.324522
lt.manodrabuziai.fr,4,2020-12-29 17:00:53.188264
net.whatsapp.WhatsApp,36340,2023-02-17 13:15:26.094608
net.whatsapp.WhatsApp.ShareExtension,284,2023-02-16 21:59:22.978053
zzkko.com.ZZKKO,4,2022-07-05 23:43:47.245697
